Date,Route,Time,Day,Location,Incident,Min Delay,Min Gap,Direction,Vehicle
1-Jan-24,89,02:08,Monday,KEELE AND GLENLAKE,Vision,10,20,N,7107
1-Jan-24,39,02:30,Monday,FINCH STATION,General Delay,20,40,,8914
1-Jan-24,300,03:13,Monday,BLOOR AND MANNING,General Delay,0,0,,8562
1-Jan-24,65,03:23,Monday,PARLIAMENT AND BLOOR,Security,0,0,N,8574
1-Jan-24,113,03:37,Monday,MAIN STATION,Security,0,0,,8541
1-Jan-24,320,03:40,Monday,YONGE AND QUEENSQUAY,Operations - Operator,8,16,N,8192
1-Jan-24,171,04:00,Monday,MOUNT DENNIS GARAGE,General Delay,20,20,S,1402
1-Jan-24,12,04:02,Monday,VICTORIA PARK AND DANF,Emergency Services,21,42,N,8616
1-Jan-24,300,04:11,Monday,DANFORTH AND WOODBINE,Security,10,20,W,3335
1-Jan-24,127,04:15,Monday,GARDINER AND PARKLAWN,Utilized Off Route,0,0,W,8133
1-Jan-24,64,04:23,Monday,KINGSTON AND SOUTHWOOD,Cleaning - Unsanitary,30,60,E,8453
1-Jan-24,25,05:00,Monday,FRESH MEDOW AND DON MI,Security,0,0,W,8625
1-Jan-24,600,05:07,Monday,LAKESHORE AND THIRTY S,Cleaning - Unsanitary,25,50,,8798
1-Jan-24,300,05:38,Monday,KIPLING STATION,Emergency Services,0,0,,3330
1-Jan-24,19,05:52,Monday,BAY AND YORKVILLE,Emergency Services,30,60,N,8498
1-Jan-24,300,06:06,Monday,EGLINTON AND SOUTH SER,Security,0,0,E,8562
1-Jan-24,300,06:19,Monday,BLOOR AND DUNDAS W,Diversion,18,38,W,8579
1-Jan-24,35,06:23,Monday,PIONEER VILLAGE,General Delay,20,40,S,1119
1-Jan-24,168,06:49,Monday,DUNDAS AND BLOOR,Diversion,20,110,S,7221
1-Jan-24,600,06:51,Monday,DANFORTH AND SIBLEY (W,Security,23,46,W,3338
1-Jan-24,39,07:09,Monday,FINCH AND KENNEDY,Mechanical,12,24,W,3163
1-Jan-24,51,07:14,Monday,DUPLEX AND EGLINTON,Mechanical,21,42,N,3111
1-Jan-24,54,07:21,Monday,EGLINTON AND BESSBOROU,Mechanical,14,28,E,8756
1-Jan-24,41,07:21,Monday,KEELE AND IAN MACDONAL,Diversion,780,793,,7251
1-Jan-24,85,07:21,Monday,TORONTO ZOO,Security,20,40,,3495
1-Jan-24,900,07:47,Monday,TERMINAL 3,Security,8,16,S,3338
1-Jan-24,93,07:56,Monday,EGLINTON GARAGE,Operations - Operator,30,60,S,8643
1-Jan-24,,08:08,Monday,EGLINTON DIVISION,Operations - Operator,0,0,,0
1-Jan-24,12,08:18,Monday,KENNEDY STATION,Emergency Services,30,60,,8408
1-Jan-24,54,08:29,Monday,LESLIE AND EGLINTON,Mechanical,15,30,W,8803
1-Jan-24,7,08:36,Monday,BATHURST STATION,Mechanical,10,20,N,8386
1-Jan-24,935,08:39,Monday,KIPLING STATION,Operations - Operator,10,20,N,1101
1-Jan-24,75,09:02,Monday,QUEENS QUAY AND LOWER,Emergency Services,24,48,N,8564
1-Jan-24,34,09:06,Monday,EGLINTON AND LEBOVIC,Mechanical,11,15,W,8777
1-Jan-24,900,09:21,Monday,KIPLING STATION,Operations - Operator,14,28,,3341
1-Jan-24,66,09:32,Monday,OLD MILL STATION,Mechanical,25,50,,3329
1-Jan-24,97,09:51,Monday,YONGE AND ST CLAIR,Cleaning - Unsanitary,55,110,S,3516
1-Jan-24,122,09:52,Monday,YORK MILLS AND BIRCHWO,Mechanical,30,60,W,1618
1-Jan-24,87,09:56,Monday,EAST YORK ACRES,General Delay,52,62,,8579
1-Jan-24,54,10:27,Monday,EGLINTON AND BAYVIEW,Mechanical,8,16,E,8823
1-Jan-24,131,10:33,Monday,SCARBOROUGH CENTRE STA,Mechanical,15,30,E,3420
1-Jan-24,96,11:03,Monday,HUMBERLINE LOOP,Security,10,20,,3580
1-Jan-24,112,11:24,Monday,KIPLING STATION,Operations - Operator,22,44,N,8123
1-Jan-24,86,11:36,Monday,ELLESMERE AND MEADOWVA,Diversion,0,0,W,1326
1-Jan-24,52,11:40,Monday,AVENUE AND WILSON,Mechanical,10,20,S,1366
1-Jan-24,95,11:43,Monday,ELLESMERE AND MEADOWVA,Diversion,15,35,W,1277
1-Jan-24,26,11:50,Monday,ANNETTE AND KEELE,Diversion,6,34,W,8086
1-Jan-24,86,12:01,Monday,EGLINTON AND MARKHAM,Collision - TTC,7,15,W,3648
1-Jan-24,960,12:12,Monday,PIONEER VILLAGE STATIO,Operations - Operator,10,20,E,8360
1-Jan-24,60,12:45,Monday,PIONEER VILLAGE STATIO,Collision - TTC,10,20,,8305
1-Jan-24,84,13:14,Monday,ARROW GARAGE,Mechanical,10,20,E,3582
1-Jan-24,41,13:50,Monday,KEELE AND YPRES,Mechanical,12,24,N,7222
1-Jan-24,50,14:22,Monday,BURNHAMTHORPE AND MART,Security,10,20,W,8080
1-Jan-24,32,14:39,Monday,EGLINTON WEST STATION,Cleaning - Unsanitary,20,40,W,7281
1-Jan-24,131,14:39,Monday,KENNEDY STATION,Cleaning - Unsanitary,20,40,W,1357
1-Jan-24,123,14:49,Monday,KIPLING STATION,Mechanical,20,40,S,8059
