Date,Line,Time,Day,Location,Incident,Min Delay,Min Gap,Bound,Vehicle
1-Jan-24,505,02:45,Monday,DUNDAS AND MCCAUL,Security,10,20,W,4416
1-Jan-24,505,03:06,Monday,COLLEGE AND GLADSTONE,Emergency Services,52,72,E,4461
1-Jan-24,503,03:21,Monday,PARLIAMENT AND SHUTTER,Security,0,0,N,4545
1-Jan-24,505,03:53,Monday,DUNDAS WEST STATION,Security,37,0,W,4551
1-Jan-24,600,04:27,Monday,QUEEN AND BATHURST,Diversion,78,93,E,8116
1-Jan-24,501,04:33,Monday,QUEEN AND BATHRUST,Diversion,74,84,E,3531
1-Jan-24,501,04:39,Monday,QUEEN AND PORTLAND,Diversion,39,49,W,4516
1-Jan-24,507,04:52,Monday,RONCESVALLES YARD,General Delay,6,18,E,4479
1-Jan-24,506,04:53,Monday,RONCESVALLE YARD,General Delay,13,28,E,4408
1-Jan-24,501,04:54,Monday,RONCESVALLES YARD,General Delay,15,30,W,4411
1-Jan-24,510,04:56,Monday,UNION STATION,Security,10,40,,4566
1-Jan-24,501,04:57,Monday,RONCESVALLES YARD,General Delay,7,13,,4450
1-Jan-24,507,05:04,Monday,RONCESVALLES YARD,General Delay,12,24,E,4492
1-Jan-24,506,05:05,Monday,RONCESVALLES YARD,General Delay,10,20,E,4574
1-Jan-24,501,05:09,Monday,QUEEN AND PORTLAND,Diversion,39,49,E,4411
1-Jan-24,501,05:09,Monday,RONCEVALLES YARD,General Delay,3,13,W,4416
1-Jan-24,505,05:11,Monday,RONCESVALLES YARD,General Delay,5,15,E,4463
1-Jan-24,507,05:16,Monday,RONCESVALLES CARHOUSE,General Delay,5,17,E,4446
1-Jan-24,501,05:19,Monday,RONCESVALLES YARD,General Delay,3,15,E,4507
1-Jan-24,505,05:21,Monday,RONCESVALLES YARD,General Delay,4,12,E,4420
1-Jan-24,501,05:29,Monday,RONCESVALLES YARD,General Delay,4,14,W,4563
1-Jan-24,506,05:31,Monday,GERRARD AND LOGAN,General Delay,10,20,,4466
1-Jan-24,501,05:39,Monday,RONCESVALLES YARD,Held By,10,20,W,4496
1-Jan-24,501,05:49,Monday,RONCESVALLES YARD,Held By,10,20,E,4601
1-Jan-24,506,05:51,Monday,RONCESVALLES YARD,Held By,7,17,W,4542
1-Jan-24,504,06:29,Monday,SUNNYSIDE LOOP,Emergency Services,10,20,S,4512
1-Jan-24,505,06:57,Monday,DUNDAS AND CHURCH,Security,10,20,E,4517
1-Jan-24,501,07:31,Monday,QUEEN AND MCCAUL,Emergency Services,50,58,E,4507
1-Jan-24,301,07:44,Monday,QUEEN AND WOODBINE,Security,25,0,E,8801
1-Jan-24,503,07:51,Monday,RUSSELL YARD,Operations,8,18,E,4556
1-Jan-24,504,08:29,Monday,SUNNYSIDE LOOP,Security,10,20,,4537
1-Jan-24,503,09:44,Monday,KINGSTON AND WAVERLEY,General Delay,10,20,E,4573
1-Jan-24,501,09:54,Monday,RONCESVALLES YARD,Held By,4,14,W,4418
1-Jan-24,501,10:59,Monday,QUEEN AND SUMACH,Mechanical,8,16,E,4578
1-Jan-24,512,11:01,Monday,ST CLAIR STATION,Collision - TTC Involved,7,14,S,3367
1-Jan-24,507,11:15,Monday,RONCESVALLES YARD,General Delay,5,17,,4485
1-Jan-24,505,11:30,Monday,DUNDAS AND CHURCH,Security,10,20,E,4498
