,Date,Time,Day,Station,Code,Min Delay,Min Gap,Bound,Line,Vehicle,Code Description
0,2024/01/01,02:00,Monday,SHEPPARD STATION,MUI,0,0,N,YU,5491,Injured or ill Customer (On Train) - Transported
1,2024/01/01,02:00,Monday,DUNDAS STATION,MUIS,0,0,N,YU,0,Injured or ill Customer (In Station) - Transported
2,2024/01/01,02:08,Monday,DUNDAS STATION,MUPAA,4,10,N,YU,6051,Passenger Assistance Alarm Activated - No Trouble Found
3,2024/01/01,02:13,Monday,KENNEDY BD STATION,PUTDN,10,16,E,BD,5284,Debris At Track Level - Uncontrollable
4,2024/01/01,02:22,Monday,BLOOR STATION,MUPAA,4,10,N,YU,5986,Passenger Assistance Alarm Activated - No Trouble Found
5,2024/01/01,02:25,Monday,ST CLAIR STATION,MUPAA,3,9,N,YU,6051,Passenger Assistance Alarm Activated - No Trouble Found
6,2024/01/01,02:25,Monday,BLOOR STATION,MUIRS,0,0,S,YU,0,Injured or ill Customer (In Station) - Medical Aid Refused
7,2024/01/01,02:27,Monday,WOODBINE STATION,EUDO,7,13,E,BD,5077,Door Problems - Faulty Equipment
8,2024/01/01,02:28,Monday,FINCH STATION,MUIRS,0,0,S,YU,5561,Injured or ill Customer (In Station) - Medical Aid Refused
9,2024/01/01,02:30,Monday,DAVISVILLE STATION,MUI,13,19,N,YU,6051,Injured or ill Customer (On Train) - Transported
10,2024/01/01,02:36,Monday,FINCH STATION,MUI,24,30,S,YU,5931,Injured or ill Customer (On Train) - Transported
11,2024/01/01,02:45,Monday,COLLEGE STATION,MUIR,12,18,N,YU,5816,Injured or ill Customer (On Train) - Medical Aid Refused
12,2024/01/01,03:01,Monday,LAWRENCE WEST STATION,SUDP,3,9,N,YU,5726,Disorderly Patron
13,2024/01/01,03:06,Monday,LAWRENCE WEST STATION,MUIS,0,0,S,YU,0,Injured or ill Customer (In Station) - Transported
14,2024/01/01,03:17,Monday,VICTORIA PARK STATION,MUIS,0,0,,BD,0,Injured or ill Customer (In Station) - Transported
15,2024/01/01,03:31,Monday,NORTH YORK CTR STATION,MUIRS,0,0,,YU,0,Injured or ill Customer (In Station) - Medical Aid Refused
16,2024/01/01,03:50,Monday,KENNEDY BD STATION,MUIS,0,0,,BD,0,Injured or ill Customer (In Station) - Transported
17,2024/01/01,05:26,Monday,FINCH STATION,SUAE,0,0,,YU,0,Assault / Employee Involved
18,2024/01/01,06:00,Monday,KIPLING STATION,MUIS,0,0,,BD,0,Injured or ill Customer (In Station) - Transported
19,2024/01/01,07:05,Monday,DUPONT STATION,MUNCA,0,0,,YU,0,MUNCA
20,2024/01/01,07:57,Monday,SHEPPARD WEST STATION,TUNOA,12,24,N,YU,0,No Operator Immediately Available
21,2024/01/01,08:41,Monday,EGLINTON STATION,TUNOA,6,12,N,YU,0,No Operator Immediately Available
22,2024/01/01,08:42,Monday,SHEPPARD WEST STATION,TUNIP,6,12,N,YU,6016,Operator Not In Position
23,2024/01/01,09:06,Monday,COLLEGE STATION,SUO,0,0,S,YU,0,Passenger Other
24,2024/01/01,09:09,Monday,ST CLAIR STATION,PUOPO,7,13,S,YU,5811,OPTO (COMMS) Train Door Monitoring
25,2024/01/01,09:17,Monday,SUMMERHILL STATION,PUOPO,6,12,S,YU,5811,OPTO (COMMS) Train Door Monitoring
26,2024/01/01,09:45,Monday,QUEEN STATION,SUO,10,16,S,YUS,5601,Passenger Other
27,2024/01/01,10:08,Monday,EGLINTON STATION,TUNOA,6,12,N,YU,0,No Operator Immediately Available
28,2024/01/01,11:18,Monday,QUEEN STATION,SUSA,0,0,N,YU,0,Sexual Assault
29,2024/01/01,11:39,Monday,OLD MILL STATION,TUSC,3,7,E,BD,5291,Operator Overspeeding
30,2024/01/01,12:11,Monday,SPADINA YUS STATION,MUIR,0,0,N,YU,5732,Injured or ill Customer (On Train) - Medical Aid Refused
31,2024/01/01,12:54,Monday,ST PATRICK STATION,SUDP,0,0,S,YU,0,Disorderly Patron
32,2024/01/01,13:24,Monday,VAUGHAN MC STATION,SUDP,0,0,,YU,0,Disorderly Patron
33,2024/01/01,14:06,Monday,YONGE BD STATION,MUIR,0,0,E,BD,5284,Injured or ill Customer (On Train) - Medical Aid Refused
34,2024/01/01,14:15,Monday,BLOOR STATION,MUIR,12,16,N,YU,5631,Injured or ill Customer (On Train) - Medical Aid Refused
35,2024/01/01,15:15,Monday,LANSDOWNE STATION,MUDD,7,11,E,BD,5164,Door Problems - Debris Related
36,2024/01/01,15:23,Monday,ST GEORGE YUS STATION,PUMEL,0,0,,YU,0,Escalator/Elevator Incident
37,2024/01/01,15:38,Monday,COLLEGE STATION,MUPAA,4,8,N,YU,6061,Passenger Assistance Alarm Activated - No Trouble Found
38,2024/01/01,16:05,Monday,SPADINA BD STATION,SUDP,0,0,,BD,0,Disorderly Patron
39,2024/01/01,16:20,Monday,ROSEDALE STATION,SUDP,7,11,S,YU,6086,Disorderly Patron
40,2024/01/01,17:17,Monday,BLOOR STATION,SUDP,0,0,S,YU,0,Disorderly Patron
41,2024/01/01,17:35,Monday,ROSEDALE STATION,MUPAA,0,0,N,YU,5751,Passenger Assistance Alarm Activated - No Trouble Found
42,2024/01/01,19:01,Monday,DUFFERIN STATION,MUIRS,0,0,W,BD,0,Injured or ill Customer (In Station) - Medical Aid Refused
43,2024/01/01,19:54,Monday,DONLANDS STATION,SUUT,0,0,W,BD,5016,Unauthorized at Track Level
44,2024/01/01,20:52,Monday,QUEEN STATION,MUPAA,7,13,S,YU,5861,Passenger Assistance Alarm Activated - No Trouble Found
45,2024/01/01,21:07,Monday,KENNEDY BD STATION,MUNOA,6,12,W,BD,5226,No Operator Immediately Available - Not E.S.A. Related
46,2024/01/01,22:00,Monday,YONGE-UNIVERSITY AND B,MUO,0,0,,YU/BD,0,Miscellaneous Other
47,2024/01/01,22:10,Monday,DUFFERIN STATION,MUIS,0,0,,BD,0,Injured or ill Customer (In Station) - Transported
48,2024/01/01,22:13,Monday,ST GEORGE YUS STATION,SUDP,0,0,S,YU,6601,Disorderly Patron
49,2024/01/01,00:01,Monday,GO PROTOCOL - DANFORTH,MUO,0,0,,BD,0,Miscellaneous Other
50,2024/01/01,00:44,Monday,VAUGHAN MC STATION,MUPAA,0,0,S,YU,6021,Passenger Assistance Alarm Activated - No Trouble Found
51,2024/01/01,00:48,Monday,BLOOR STATION,SUO,0,0,S,YU,5776,Passenger Other
52,2024/01/01,01:10,Monday,VAUGHAN MC STATION,MUO,8,14,S,YU,5921,Miscellaneous Other
53,2024/01/01,01:11,Monday,DUNDAS STATION,SUO,0,0,S,YU,0,Passenger Other
54,2024/01/01,01:38,Monday,ST GEORGE YUS STATION,SUUT,0,0,N,YU,5796,Unauthorized at Track Level
55,2024/01/01,01:46,Monday,SHEPPARD WEST STATION,SUAE,0,0,,YU,0,Assault / Employee Involved
56,2024/01/02,02:06,Tuesday,FINCH STATION,MUIS,0,0,S,YU,0,Injured or ill Customer (In Station) - Transported
57,2024/01/02,06:02,Tuesday,SPADINA BD STATION,TUSC,0,0,E,BD,5176,Operator Overspeeding
58,2024/01/02,06:19,Tuesday,WARDEN STATION,MUIRS,0,0,,BD,0,Injured or ill Customer (In Station) - Medical Aid Refused
59,2024/01/02,06:42,Tuesday,ST CLAIR WEST STATION,MUIS,0,0,,YU,0,Injured or ill Customer (In Station) - Transported
60,2024/01/02,06:53,Tuesday,CHRISTIE STATION,SUO,0,0,,BD,0,Passenger Other
61,2024/01/02,07:40,Tuesday,DAVISVILLE STATION,SUDP,6,9,S,YU,6076,Disorderly Patron
62,2024/01/02,07:45,Tuesday,ST GEORGE YUS STATION,MUIR,0,0,N,YU,5416,Injured or ill Customer (On Train) - Medical Aid Refused
63,2024/01/02,07:47,Tuesday,BLOOR STATION,SUO,0,0,N,YU,0,Passenger Other
64,2024/01/02,08:38,Tuesday,BLOOR STATION,PUOPO,0,0,N,YU,5811,OPTO (COMMS) Train Door Monitoring
65,2024/01/02,08:44,Tuesday,ST CLAIR STATION,PUOPO,6,9,N,YU,5811,OPTO (COMMS) Train Door Monitoring
66,2024/01/02,08:51,Tuesday,DUNDAS STATION,MUSAN,3,6,N,YU,5451,Unsanitary Vehicle
67,2024/01/02,09:12,Tuesday,BROADVIEW STATION,EUME,9,12,W,BD,5004,RC&S Maintenance Error - (Human)
68,2024/01/02,09:22,Tuesday,BAY STATION,SUDP,0,0,,BD,0,Disorderly Patron
69,2024/01/02,09:33,Tuesday,FINCH WEST STATION,MUIR,4,7,N,YU,5851,Injured or ill Customer (On Train) - Medical Aid Refused
70,2024/01/02,10:38,Tuesday,ROSEDALE STATION,SUDP,0,0,,YU,0,Disorderly Patron
71,2024/01/02,11:13,Tuesday,CHESTER STATION,SUO,0,0,,BD,0,Passenger Other
72,2024/01/02,11:48,Tuesday,QUEEN'S PARK STATION,SUO,0,0,S,YU,5791,Passenger Other
73,2024/01/02,12:20,Tuesday,COLLEGE STATION,SUDP,0,0,,YU,0,Disorderly Patron
74,2024/01/02,13:12,Tuesday,DOWNSVIEW PARK STATION,EUDO,5,10,N,YU,5806,Door Problems - Faulty Equipment
75,2024/01/02,13:42,Tuesday,ST GEORGE YUS STATION,SUO,3,8,S,YU,5961,Passenger Other
76,2024/01/02,13:46,Tuesday,EGLINTON STATION,MUI,3,8,N,YU,5576,Injured or ill Customer (On Train) - Transported
77,2024/01/02,13:55,Tuesday,KEELE STATION,MUPAA,0,0,E,BD,5021,Passenger Assistance Alarm Activated - No Trouble Found
78,2024/01/02,14:03,Tuesday,NORTH YORK CTR STATION,SUDP,8,13,S,YU,5481,Disorderly Patron
79,2024/01/02,14:07,Tuesday,WELLESLEY STATION,SUDP,0,0,,YU,0,Disorderly Patron
80,2024/01/02,14:09,Tuesday,KENNEDY BD STATION,SUAP,0,0,,BD,0,Assault / Patron Involved
81,2024/01/02,14:36,Tuesday,ST GEORGE YUS STATION,SUDP,21,26,S,YU,6051,Disorderly Patron
82,2024/01/02,15:09,Tuesday,KIPLING STATION,MUIR,3,6,E,BD,5017,Injured or ill Customer (On Train) - Medical Aid Refused
83,2024/01/02,15:12,Tuesday,MUSEUM STATION,SUDP,8,13,S,YU,5886,Disorderly Patron
84,2024/01/02,15:43,Tuesday,KEELE STATION,TUNIP,3,6,W,BD,5037,Operator Not In Position
85,2024/01/02,15:54,Tuesday,DAVISVILLE STATION,MUDD,6,11,N,YU,5441,Door Problems - Debris Related
86,2024/01/02,16:05,Tuesday,ISLINGTON STATION,TUSC,0,0,E,BD,5307,Operator Overspeeding
87,2024/01/02,16:31,Tuesday,DONLANDS STATION,MUSC,0,0,W,BD,5029,Miscellaneous Speed Control
88,2024/01/02,16:32,Tuesday,PIONEER VILLAGE STATIO,SUO,0,0,S,YU,5551,Passenger Other
89,2024/01/02,16:52,Tuesday,BLOOR STATION,MUIRS,0,0,,YU,0,Injured or ill Customer (In Station) - Medical Aid Refused
90,2024/01/02,16:53,Tuesday,BLOOR STATION,SUDP,0,0,N,YU,0,Disorderly Patron
91,2024/01/02,18:00,Tuesday,WOODBINE STATION,MUSC,0,0,E,BD,5098,Miscellaneous Speed Control
92,2024/01/02,18:07,Tuesday,DUNDAS STATION,MUIS,0,0,,YU,0,Injured or ill Customer (In Station) - Transported
93,2024/01/02,18:09,Tuesday,COLLEGE STATION,MUDD,10,13,S,YU,6001,Door Problems - Debris Related
94,2024/01/02,18:38,Tuesday,BLOOR STATION,SUO,16,20,S,YU,5881,Passenger Other
95,2024/01/02,18:41,Tuesday,YONGE BD STATION,SUO,16,20,W,BD,5063,Passenger Other
96,2024/01/02,19:01,Tuesday,BLOOR STATION,SUO,24,27,N,YU,5961,Passenger Other
97,2024/01/02,19:01,Tuesday,YONGE BD STATION,SUO,24,29,E,BD,5044,Passenger Other
98,2024/01/02,19:34,Tuesday,ROSEDALE STATION,SUO,20,23,S,YU,6016,Passenger Other
99,2024/01/02,19:43,Tuesday,COLLEGE STATION,MUIRS,0,0,,YU,0,Injured or ill Customer (In Station) - Medical Aid Refused
100,2024/01/02,20:12,Tuesday,WARDEN STATION,TUO,3,8,W,BD,5212,Transportation Department - Other
101,2024/01/02,20:29,Tuesday,MAIN STREET STATION,SUDP,0,0,,BD,0,Disorderly Patron
102,2024/01/02,20:38,Tuesday,WELLESLEY STATION,MUIRS,0,0,N,YU,5561,Injured or ill Customer (In Station) - Medical Aid Refused
103,2024/01/02,20:40,Tuesday,EGLINTON STATION,SUEAS,9,14,S,YU,6091,Emergency Alarm Station Activation
104,2024/01/02,20:42,Tuesday,SHERBOURNE STATION,SUDP,0,0,W,BD,0,Disorderly Patron
105,2024/01/02,21:05,Tuesday,ST GEORGE BD STATION,SUO,0,0,,BD,0,Passenger Other
106,2024/01/02,21:05,Tuesday,YORKDALE STATION,SUO,0,0,S,YU,0,Passenger Other
107,2024/01/02,21:09,Tuesday,DUNDAS WEST STATION,MUIS,0,0,,BD,0,Injured or ill Customer (In Station) - Transported
108,2024/01/02,22:00,Tuesday,YONGE-UNIVERSITY AND B,MUO,0,0,,YU/BD,0,Miscellaneous Other
109,2024/01/02,22:08,Tuesday,SPADINA BD STATION,SUAE,0,0,,BD,0,Assault / Employee Involved
110,2024/01/02,22:52,Tuesday,DUNDAS WEST STATION,SUDP,0,0,,BD,0,Disorderly Patron
111,2024/01/02,23:33,Tuesday,WARDEN STATION,TUS,4,9,E,BD,5098,Crew Unable to Maintain Schedule
112,2024/01/02,23:57,Tuesday,WELLESLEY STATION,MUIRS,0,0,,YU,0,Injured or ill Customer (In Station) - Medical Aid Refused
113,2024/01/02,23:59,Tuesday,WELLESLEY STATION,SUO,0,0,,YU,0,Passenger Other
114,2024/01/02,00:00,Tuesday,GREENWOOD YARD,SUO,0,0,,BD,0,Passenger Other
115,2024/01/02,00:08,Tuesday,KENNEDY BD STATION,SUDP,5,10,W,BD,5049,Disorderly Patron
116,2024/01/02,00:26,Tuesday,MAIN STREET STATION,SUDP,0,0,,BD,0,Disorderly Patron
117,2024/01/02,01:45,Tuesday,EGLINTON WEST STATION,SUDP,0,0,,YU,0,Disorderly Patron
118,2024/01/02,01:48,Tuesday,EGLINTON WEST STATION,SUDP,0,0,N,YU,0,Disorderly Patron
119,2024/01/02,01:48,Tuesday,BROADVIEW STATION,EUVE,11,16,W,BD,0,Work Vehicle
120,2024/01/02,01:59,Tuesday,JANE STATION,SUUT,0,0,W,BD,5004,Unauthorized at Track Level
121,2024/01/02,05:27,Tuesday,SHEPPARD-YONGE STATION,TUSC,0,0,E,SHP,6191,Operator Overspeeding
122,2024/01/02,05:39,Tuesday,DON MILLS STATION,MUSC,0,0,W,SHP,6196,Miscellaneous Speed Control
123,2024/01/02,16:07,Tuesday,BAYVIEW STATION,SUDP,4,11,W,SHP,6146,Disorderly Patron
124,2024/01/03,02:42,Wednesday,VAUGHAN MC STATION,MUIS,0,0,,YU,0,Injured or ill Customer (In Station) - Transported
125,2024/01/03,06:15,Wednesday,UNION STATION,MUIS,0,0,,YU,0,Injured or ill Customer (In Station) - Transported
126,2024/01/03,06:49,Wednesday,KIPLING STATION,MUIS,0,0,,BD,0,Injured or ill Customer (In Station) - Transported
127,2024/01/03,07:06,Wednesday,EGLINTON STATION,MUIE,0,0,,YU,0,Injured Employee
128,2024/01/03,07:17,Wednesday,DUNDAS STATION,MUPAA,3,6,S,YU,5796,Passenger Assistance Alarm Activated - No Trouble Found
129,2024/01/03,07:31,Wednesday,BLOOR STATION,PUMEL,0,0,,YU,0,Escalator/Elevator Incident
130,2024/01/03,07:46,Wednesday,BLOOR STATION,MUIRS,0,0,,YU,0,Injured or ill Customer (In Station) - Medical Aid Refused
131,2024/01/03,08:34,Wednesday,UNION STATION,SUDP,0,0,N,YU,6125,Disorderly Patron
132,2024/01/03,08:48,Wednesday,DUNDAS STATION,SUDP,0,0,S,YU,5984,Disorderly Patron
133,2024/01/03,11:31,Wednesday,WARDEN STATION,SUO,0,0,,BD,0,Passenger Other
134,2024/01/03,11:32,Wednesday,VICTORIA PARK STATION,EUCA,4,8,W,BD,5180,Compressed Air
135,2024/01/03,11:40,Wednesday,KENNEDY BD STATION,PUMEL,0,0,,BD,0,Escalator/Elevator Incident
136,2024/01/03,11:54,Wednesday,LANSDOWNE STATION,EUSC,0,0,E,BD,5213,Speed Control Equipment
137,2024/01/03,12:30,Wednesday,EGLINTON STATION,TUOS,0,0,S,YU,5796,Operator Overshot Platform
138,2024/01/03,12:50,Wednesday,DAVISVILLE STATION,MUSAN,5,10,N,YU,5971,Unsanitary Vehicle
139,2024/01/03,12:55,Wednesday,SHEPPARD STATION,MUPAA,0,0,N,YU,5976,Passenger Assistance Alarm Activated - No Trouble Found
